Institute,Program,Quota,Seat Type,Gender,OR,CR
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,22025.0,37195.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,339.0,402.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,5840.0,6249.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,10563.0,14772.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,533.0,533.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,3646.0,7001.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,1915.0,4103.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,38022.0,41775.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,2288.0,2288.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,6763.0,7076.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,14843.0,16321.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,6564.0,8655.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,4264.0,4712.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,17023.0,25572.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,879.0,1337.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,4004.0,4519.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,8182.0,10361.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,1276.0,1276.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,4100.0,6409.0
