Institute,Program,Quota,Seat Type,Gender,OR,CR
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,2945.0,7079.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),5484.0,8445.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,3015.0,3531.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),3982.0,3982.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,28211.0,39991.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),35632.0,38130.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,293.0,1271.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,6424.0,6978.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),7343.0,7343.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,13588.0,16367.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),16308.0,18234.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,736.0,1432.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,3847.0,9255.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),6254.0,8992.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,SC (PwD),Gender-Neutral,263.0,263.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,3499.0,4176.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),4314.0,4314.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,40334.0,43031.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),40847.0,42026.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,3291.0,3291.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,7084.0,7241.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),7628.0,7628.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,16578.0,17077.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),15369.0,15369.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,6259.0,9708.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),10443.0,10443.0
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,4204.0,4901.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,18772.0,28994.0
