Institute,Program,Seat Type,Gender,OR,CR
IIT Bombay,Electrical Engineering (4 Years B.Tech),ST,Female-only (including Supernumerary),84,176
IIT Bombay,Engineering Physics (4 Years B.Tech),EWS,Gender-Neutral,442,567
IIT Bombay,Engineering Physics (4 Years B.Tech),EWS,Female-only (including Supernumerary),1410,1410
IIT Bombay,Engineering Physics (4 Years B.Tech),OBC-NCL,Gender-Neutral,970,1578
IIT Bombay,Engineering Physics (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),2329,2854
IIT Bombay,Engineering Physics (4 Years B.Tech),OBC-NCL (PwD),Gender-Neutral,106,106
IIT Bombay,Engineering Physics (4 Years B.Tech),OPEN,Gender-Neutral,197,1719
IIT Bombay,Engineering Physics (4 Years B.Tech),OPEN,Female-only (including Supernumerary),1680,3629
IIT Bombay,Engineering Physics (4 Years B.Tech),OPEN (PwD),Gender-Neutral,156,156
IIT Bombay,Engineering Physics (4 Years B.Tech),SC,Gender-Neutral,217,779
IIT Bombay,Engineering Physics (4 Years B.Tech),SC,Female-only (including Supernumerary),1772,2347
IIT Bombay,Engineering Physics (4 Years B.Tech),SC (PwD),Gender-Neutral,11,11
IIT Bombay,Engineering Physics (4 Years B.Tech),ST,Gender-Neutral,15,682
IIT Bombay,Engineering Physics (4 Years B.Tech),ST,Female-only (including Supernumerary),1047,1047
IIT Bombay,Mechanical Engineering (4 Years B.Tech),EWS,Gender-Neutral,164,367
IIT Bombay,Mechanical Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),968,1319
IIT Bombay,Mechanical Engineering (4 Years B.Tech),EWS (PwD),Gender-Neutral,32,32
IIT Bombay,Mechanical Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,462,958
IIT Bombay,Mechanical Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),1265,2722
IIT Bombay,Mechanical Engineering (4 Years B.Tech),OBC-NCL (PwD),Gender-Neutral,19,23
IIT Bombay,Mechanical Engineering (4 Years B.Tech),OPEN,Gender-Neutral,666,1685
IIT Bombay,Mechanical Engineering (4 Years B.Tech),OPEN,Female-only (including Supernumerary),1662,4444
IIT Bombay,Mechanical Engineering (4 Years B.Tech),OPEN (PwD),Gender-Neutral,78,152
IIT Bombay,Mechanical Engineering (4 Years B.Tech),SC,Gender-Neutral,191,476
IIT Bombay,Mechanical Engineering (4 Years B.Tech),SC,Female-only (including Supernumerary),142,1066
IIT Bombay,Mechanical Engineering (4 Years B.Tech),ST,Gender-Neutral,61,309
IIT Bombay,Mechanical Engineering (4 Years B.Tech),ST,Female-only (including Supernumerary),466,516
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years B.Tech),EWS,Gender-Neutral,624,907
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years B.Tech),EWS,Female-only (including Supernumerary),1585,1723
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years B.Tech),OBC-NCL,Gender-Neutral,1439,2207
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),3446,5594
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years B.Tech),OPEN,Gender-Neutral,2690,4193
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years B.Tech),OPEN,Female-only (including Supernumerary),6870,8491
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years B.Tech),OPEN (PwD),Gender-Neutral,249,263
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years B.Tech),SC,Gender-Neutral,901,1369
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years B.Tech),SC,Female-only (including Supernumerary),1500,2276
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years B.Tech),ST,Gender-Neutral,514,641
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years B.Tech),ST,Female-only (including Supernumerary),1154,1251
IIT Bombay,Energy Engineering (4 Years B.Tech),EWS,Gender-Neutral,490,568
IIT Bombay,Energy Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),1691,1691
IIT Bombay,Energy Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,1300,1650
IIT Bombay,Energy Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),3388,3824
IIT Bombay,Energy Engineering (4 Years B.Tech),OBC-NCL (PwD),Gender-Neutral,61,61
IIT Bombay,Energy Engineering (4 Years B.Tech),OPEN,Gender-Neutral,1905,2689
IIT Bombay,Energy Engineering (4 Years B.Tech),OPEN,Female-only (including Supernumerary),3767,5537
IIT Bombay,Energy Engineering (4 Years B.Tech),OPEN (PwD),Gender-Neutral,184,184
IIT Bombay,Energy Engineering (4 Years B.Tech),SC,Gender-Neutral,706,990
IIT Bombay,Energy Engineering (4 Years B.Tech),SC,Female-only (including Supernumerary),1673,1673
IIT Bombay,Energy Engineering (4 Years B.Tech),ST,Gender-Neutral,552,669
IIT Bombay,Energy Engineering (4 Years B.Tech),ST,Female-only (including Supernumerary),1473,1473
IIT Bombay,Chemistry (4 Years B.Sc),EWS,Gender-Neutral,1175,1338
IIT Bombay,Chemistry (4 Years B.Sc),EWS,Female-only (including Supernumerary),2637,2637
IIT Bombay,Chemistry (4 Years B.Sc),OBC-NCL,Gender-Neutral,2780,3506
IIT Bombay,Chemistry (4 Years B.Sc),OBC-NCL,Female-only (including Supernumerary),7579,7754
IIT Bombay,Chemistry (4 Years B.Sc),OPEN,Gender-Neutral,5629,7430
IIT Bombay,Chemistry (4 Years B.Sc),OPEN,Female-only (including Supernumerary),9692,11262
IIT Bombay,Chemistry (4 Years B.Sc),OPEN (PwD),Gender-Neutral,193,193
IIT Bombay,Chemistry (4 Years B.Sc),SC,Gender-Neutral,1688,2025
IIT Bombay,Chemistry (4 Years B.Sc),SC,Female-only (including Supernumerary),3101,3101
IIT Bombay,Chemistry (4 Years B.Sc),ST,Gender-Neutral,1007,1036
IIT Bombay,Chemistry (4 Years B.Sc),ST,Female-only (including Supernumerary),1498,1498
IIT Bombay,Economics (4 Years B.Sc),EWS,Gender-Neutral,398,525
IIT Bombay,Economics (4 Years B.Sc),EWS,Female-only (including Supernumerary),920,920
IIT Bombay,Economics (4 Years B.Sc),OBC-NCL,Gender-Neutral,618,1255
IIT Bombay,Economics (4 Years B.Sc),OBC-NCL,Female-only (including Supernumerary),1491,2705
IIT Bombay,Economics (4 Years B.Sc),OPEN,Gender-Neutral,1562,2408
IIT Bombay,Economics (4 Years B.Sc),OPEN,Female-only (including Supernumerary),3878,4408
IIT Bombay,Economics (4 Years B.Sc),OPEN (PwD),Gender-Neutral,144,144
IIT Bombay,Economics (4 Years B.Sc),SC,Gender-Neutral,280,722
IIT Bombay,Economics (4 Years B.Sc),SC,Female-only (including Supernumerary),373,373
IIT Bombay,Economics (4 Years B.Sc),ST,Gender-Neutral,130,222
IIT Bombay,Economics (4 Years B.Sc),ST,Female-only (including Supernumerary),714,714
IIT Bombay,BS in Mathematics (4 Years B.Sc),EWS,Gender-Neutral,360,360
IIT Bombay,BS in Mathematics (4 Years B.Sc),EWS,Female-only (including Supernumerary),1490,1490
IIT Bombay,BS in Mathematics (4 Years B.Sc),OBC-NCL,Gender-Neutral,1106,1291
IIT Bombay,BS in Mathematics (4 Years B.Sc),OBC-NCL,Female-only (including Supernumerary),3479,3479
IIT Bombay,BS in Mathematics (4 Years B.Sc),OPEN,Gender-Neutral,631,1191
IIT Bombay,BS in Mathematics (4 Years B.Sc),OPEN,Female-only (including Supernumerary),4101,4101
IIT Bombay,BS in Mathematics (4 Years B.Sc),OPEN (PwD),Gender-Neutral,139,139
IIT Bombay,BS in Mathematics (4 Years B.Sc),SC,Gender-Neutral,521,545
IIT Bombay,BS in Mathematics (4 Years B.Sc),SC,Female-only (including Supernumerary),1438,1438
IIT Bombay,BS in Mathematics (4 Years B.Sc),ST,Gender-Neutral,247,247
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),EWS,Gender-Neutral,183,199
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),EWS,Female-only (including Supernumerary),558,753
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),OBC-NCL,Gender-Neutral,379,571
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),OBC-NCL,Female-only (including Supernumerary),1006,1877
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),OBC-NCL (PwD),Gender-Neutral,42,42
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),OPEN,Gender-Neutral,536,973
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),OPEN,Female-only (including Supernumerary),1731,2424
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),OPEN (PwD),Gender-Neutral,52,52
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),OPEN (PwD),Female-only (including Supernumerary),245,245
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),SC,Gender-Neutral,197,274
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),SC,Female-only (including Supernumerary),584,1054
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),ST,Gender-Neutral,131,221
IIT Bombay,Electrical Engineering (5 Years B.Tech & M.Tech (Dual Degree)),ST,Female-only (including Supernumerary),363,363
IIT Bombay,Environmental Science and Engineering (4 Years B.Tech),EWS,Gender-Neutral,935,1060
IIT Bombay,Environmental Science and Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),2019,2019
IIT Bombay,Environmental Science and Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,1601,2716
IIT Bombay,Environmental Science and Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),5701,5973
IIT Bombay,Environmental Science and Engineering (4 Years B.Tech),OPEN,Gender-Neutral,3424,4718
IIT Bombay,Environmental Science and Engineering (4 Years B.Tech),OPEN,Female-only (including Supernumerary),8821,9292
IIT Bombay,Environmental Science and Engineering (4 Years B.Tech),OPEN (PwD),Gender-Neutral,219,219
IIT Bombay,Environmental Science and Engineering (4 Years B.Tech),SC,Gender-Neutral,622,1267
IIT Bombay,Environmental Science and Engineering (4 Years B.Tech),SC,Female-only (including Supernumerary),1874,1874
IIT Bombay,Environmental Science and Engineering (4 Years B.Tech),ST,Gender-Neutral,680,830
IIT Bombay,Environmental Science and Engineering (4 Years B.Tech),ST,Female-only (including Supernumerary),1587,1587
IIT Bombay,Industrial Engineering and Operations Research (4 Years B.Tech),EWS,Gender-Neutral,279,303
IIT Bombay,Industrial Engineering and Operations Research (4 Years B.Tech),EWS,Female-only (including Supernumerary),706,706
IIT Bombay,Industrial Engineering and Operations Research (4 Years B.Tech),OBC-NCL,Gender-Neutral,401,1196
IIT Bombay,Industrial Engineering and Operations Research (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),2881,3817
IIT Bombay,Industrial Engineering and Operations Research (4 Years B.Tech),OPEN,Gender-Neutral,1042,1726
IIT Bombay,Industrial Engineering and Operations Research (4 Years B.Tech),OPEN,Female-only (including Supernumerary),3258,4762
IIT Bombay,Industrial Engineering and Operations Research (4 Years B.Tech),OPEN (PwD),Gender-Neutral,63,63
IIT Bombay,Industrial Engineering and Operations Research (4 Years B.Tech),SC,Gender-Neutral,588,999
IIT Bombay,Industrial Engineering and Operations Research (4 Years B.Tech),SC,Female-only (including Supernumerary),1052,1052
IIT Bombay,Industrial Engineering and Operations Research (4 Years B.Tech),ST,Gender-Neutral,323,351
IIT Bombay,Industrial Engineering and Operations Research (4 Years B.Tech),ST,Female-only (including Supernumerary),1404,1404
IIT Mandi,Civil Engineering (4 Years B.Tech),EWS,Gender-Neutral,1796,1953
IIT Mandi,Civil Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),3738,3738
IIT Mandi,Civil Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,4238,4726
IIT Mandi,Civil Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),8450,9050
IIT Mandi,Civil Engineering (4 Years B.Tech),OPEN,Gender-Neutral,9968,12562
